operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,1.0522,1.1e-05,100000
insert,mongo4,products,1.1719,1.2e-05,100000
insert,mongo4,orders,1.1853,1.2e-05,100000
insert,mongo4,reviews,1.1836,1.2e-05,100000
read,mongo4,users,0.0084,8e-06,1000
read,mongo4,products,0.0072,7e-06,1000
read,mongo4,products_by_id,0.008,8e-06,1000
read,mongo4,orders,0.0083,8e-06,1000
read,mongo4,reviews,0.0067,7e-06,1000
update,mongo4,users,46.4215,0.046421,1000
update,mongo4,products,53.7769,0.053777,1000
update,mongo4,products_by_id,63.3733,0.063373,1000
update,mongo4,orders,47.9983,0.047998,1000
update,mongo4,reviews,41.9965,0.041996,1000
complex,mongo4,popular_products,0.5122,0.512198,1
complex,mongo4,avg_product_rating,0.2731,0.273089,1
complex,mongo4,customer_spending,0.3476,0.347562,1
complex,mongo4,product_search,0.1253,0.125343,1
complex,mongo4,sales_dashboard,0.1143,0.11427,1
complex,mongo4,product_recommendations,0.8593,0.859257,1
delete,mongo4,users,24.276,0.048552,500
delete,mongo4,products,26.7624,0.053525,500
delete,mongo4,products_by_id,18.3351,0.03667,500
delete,mongo4,orders,24.5209,0.049042,500
delete,mongo4,reviews,21.7151,0.04343,500
