operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,1.0079,1e-05,100000
insert,mongolatest,products,1.2364,1.2e-05,100000
insert,mongolatest,orders,1.1796,1.2e-05,100000
insert,mongolatest,reviews,1.2505,1.3e-05,100000
read,mongolatest,users,0.0077,8e-06,1000
read,mongolatest,products,0.0077,8e-06,1000
read,mongolatest,products_by_id,0.0106,1.1e-05,1000
read,mongolatest,orders,0.0081,8e-06,1000
read,mongolatest,reviews,0.009,9e-06,1000
update,mongolatest,users,42.2403,0.04224,1000
update,mongolatest,products,49.322,0.049322,1000
update,mongolatest,products_by_id,54.4923,0.054492,1000
update,mongolatest,orders,44.7418,0.044742,1000
update,mongolatest,reviews,42.2412,0.042241,1000
complex,mongolatest,popular_products,0.422,0.421978,1
complex,mongolatest,avg_product_rating,0.222,0.22205,1
complex,mongolatest,customer_spending,0.3386,0.338598,1
complex,mongolatest,product_search,0.1309,0.130949,1
complex,mongolatest,sales_dashboard,0.1063,0.106325,1
complex,mongolatest,product_recommendations,0.7671,0.767149,1
delete,mongolatest,users,20.6307,0.041261,500
delete,mongolatest,products,22.89,0.04578,500
delete,mongolatest,products_by_id,19.5242,0.039048,500
delete,mongolatest,orders,22.3527,0.044705,500
delete,mongolatest,reviews,20.232,0.040464,500
