operation,database,entity,total_time,avg_time,record_count
insert,mongolatest,users,1.6248,1.4e-05,120000
insert,mongolatest,products,2.3994,2e-05,120000
insert,mongolatest,orders,2.1188,1.8e-05,120000
insert,mongolatest,reviews,2.291,1.9e-05,120000
read,mongolatest,users,0.8192,0.000819,1000
read,mongolatest,products,3.5477,0.003548,1000
read,mongolatest,products_by_id,0.8164,0.000816,1000
read,mongolatest,orders,0.8074,0.000807,1000
read,mongolatest,reviews,0.9114,0.000911,1000
update,mongolatest,users,0.8795,0.00088,1000
update,mongolatest,products,3.0942,0.003094,1000
update,mongolatest,products_by_id,0.828,0.000828,1000
update,mongolatest,orders,0.8506,0.000851,1000
update,mongolatest,reviews,0.8588,0.000859,1000
complex,mongolatest,popular_products,0.5022,0.50221,1
complex,mongolatest,avg_product_rating,0.338,0.337961,1
complex,mongolatest,customer_spending,0.4351,0.43508,1
complex,mongolatest,product_search,0.0496,0.049606,1
complex,mongolatest,sales_dashboard,0.1495,0.149472,1
complex,mongolatest,product_recommendations,0.9227,0.92266,1
complex,mongolatest,join_with_comments,9.8013,9.801279,1
delete,mongolatest,users,0.4526,0.000905,500
delete,mongolatest,products,2.0931,0.004186,500
delete,mongolatest,products_by_id,0.4,0.0008,500
delete,mongolatest,orders,0.414,0.000828,500
delete,mongolatest,reviews,0.4426,0.000885,500
