operation,database,entity,total_time,avg_time,record_count
insert,postgresql,users,52.4763,0.000437,120000
insert,postgresql,products,50.8809,0.000424,120000
insert,postgresql,orders,53.382,0.000445,120000
insert,postgresql,order_items,166.4321,0.000461,361278
insert,postgresql,reviews,56.5328,0.000471,120000
read,postgresql,users,0.4572,0.000457,1000
read,postgresql,products,10.7831,0.010783,1000
read,postgresql,products_by_id,0.4558,0.000456,1000
read,postgresql,orders,8.9112,0.008911,1000
read,postgresql,reviews,9.9871,0.009987,1000
update,postgresql,users,0.5037,0.000504,1000
update,postgresql,products,13.8777,0.013878,1000
update,postgresql,products_by_id,0.454,0.000454,1000
update,postgresql,orders,0.4537,0.000454,1000
update,postgresql,reviews,0.4457,0.000446,1000
complex,postgresql,popular_products,0.3523,0.352257,1
complex,postgresql,avg_product_rating,0.1576,0.157647,1
complex,postgresql,customer_spending,0.3596,0.359579,1
complex,postgresql,product_search,0.0184,0.018381,1
complex,postgresql,sales_dashboard,0.0976,0.097602,1
complex,postgresql,product_recommendations,0.631,0.630988,1
complex,postgresql,join_with_comments,0.136,0.135988,1
delete,postgresql,reviews,0.2199,0.00044,500
delete,postgresql,order_items,11.5092,0.023018,500
delete,postgresql,orders,13.2452,0.02649,500
delete,postgresql,products_by_id,18.7669,0.037534,500
delete,postgresql,users,23.8114,0.047623,500
