operation,database,entity,total_time,avg_time,record_count
insert,mariadb,users,3.4073,2.1e-05,160000
insert,mariadb,products,2.0997,1.3e-05,160000
insert,mariadb,orders,2.037,1.3e-05,160000
insert,mariadb,order_items,8.1429,1.7e-05,479981
insert,mariadb,reviews,4.1878,2.6e-05,160000
read,mariadb,users,0.7219,0.000722,1000
read,mariadb,products,57.1625,0.057162,1000
read,mariadb,products_by_id,0.5393,0.000539,1000
read,mariadb,orders,0.6873,0.000687,1000
read,mariadb,reviews,0.5777,0.000578,1000
update,mariadb,users,0.5775,0.000578,1000
update,mariadb,products,63.2407,0.063241,1000
update,mariadb,products_by_id,0.5399,0.00054,1000
update,mariadb,orders,0.5256,0.000526,1000
update,mariadb,reviews,0.5045,0.000505,1000
complex,mariadb,popular_products,4.9565,4.956546,1
complex,mariadb,avg_product_rating,1.5124,1.512382,1
complex,mariadb,customer_spending,6.1449,6.144934,1
complex,mariadb,product_search,0.1671,0.167129,1
complex,mariadb,sales_dashboard,0.4384,0.438403,1
complex,mariadb,product_recommendations,4.4325,4.43251,1
complex,mariadb,join_with_comments,2.2166,2.216639,1
delete,mariadb,reviews,0.3194,0.000639,500
delete,mariadb,order_items,0.4495,0.000899,500
delete,mariadb,orders,0.4038,0.000808,500
delete,mariadb,products,35.1362,0.070272,500
delete,mariadb,products_by_id,0.3291,0.000658,500
delete,mariadb,users,0.85,0.0017,500
