operation,database,entity,total_time,avg_time,record_count
insert,mysql,users,1.2593,3.1e-05,40000
insert,mysql,products,1.6633,4.2e-05,40000
insert,mysql,orders,0.737,1.8e-05,40000
insert,mysql,order_items,2.6646,2.2e-05,119731
insert,mysql,reviews,1.163,2.9e-05,40000
read,mysql,users,0.5907,0.000591,1000
read,mysql,products,19.5054,0.019505,1000
read,mysql,products_by_id,0.5593,0.000559,1000
read,mysql,orders,0.6059,0.000606,1000
read,mysql,reviews,0.6122,0.000612,1000
update,mysql,users,0.6135,0.000614,1000
update,mysql,products,27.8535,0.027853,1000
update,mysql,products_by_id,0.5747,0.000575,1000
update,mysql,orders,0.5553,0.000555,1000
update,mysql,reviews,0.5534,0.000553,1000
complex,mysql,popular_products,0.1683,0.168287,1
complex,mysql,avg_product_rating,0.1167,0.116727,1
complex,mysql,customer_spending,0.3994,0.399429,1
complex,mysql,product_search,0.0413,0.041327,1
complex,mysql,sales_dashboard,0.0655,0.065457,1
complex,mysql,product_recommendations,0.7252,0.72522,1
complex,mysql,join_with_comments,0.303,0.303004,1
delete,mysql,reviews,0.2743,0.000549,500
delete,mysql,order_items,0.3346,0.000669,500
delete,mysql,orders,0.3409,0.000682,500
delete,mysql,products,13.9258,0.027852,500
delete,mysql,products_by_id,0.2875,0.000575,500
delete,mysql,users,0.3521,0.000704,500
