operation,database,entity,total_time,avg_time,record_count
insert,mongo4,users,0.6847,1.1e-05,60000
insert,mongo4,products,0.5648,9e-06,60000
insert,mongo4,orders,0.6335,1.1e-05,60000
insert,mongo4,reviews,0.5823,1e-05,60000
read,mongo4,users,14.6093,0.014609,1000
read,mongo4,products,1.0235,0.001024,1000
read,mongo4,products_by_id,13.1343,0.013134,1000
read,mongo4,orders,11.4789,0.011479,1000
read,mongo4,reviews,10.1966,0.010197,1000
update,mongo4,users,14.7001,0.0147,1000
update,mongo4,products,1.0729,0.001073,1000
update,mongo4,products_by_id,13.5621,0.013562,1000
update,mongo4,orders,15.3505,0.015351,1000
update,mongo4,reviews,12.6474,0.012647,1000
complex,mongo4,popular_products,0.2261,0.226128,1
complex,mongo4,avg_product_rating,0.1228,0.122764,1
complex,mongo4,customer_spending,0.1937,0.193702,1
complex,mongo4,product_search,0.0612,0.061177,1
complex,mongo4,sales_dashboard,0.0651,0.065135,1
complex,mongo4,product_recommendations,0.4973,0.49731,1
delete,mongo4,users,7.565,0.01513,500
delete,mongo4,products,0.5731,0.001146,500
delete,mongo4,products_by_id,6.6922,0.013384,500
delete,mongo4,orders,7.7012,0.015402,500
delete,mongo4,reviews,6.5343,0.013069,500
